=============> 2023-04-12 15:54:53 weatherCode = 1 placeCode = 4 rod grade = 2 <=============
100 2023-04-12 18:24:16 fishing time: 11366 ms waiting time: 6246 ms getLegendFish: undefined full: undefined
101 2023-04-12 18:24:29 fishing time: 12440 ms waiting time: 7330 ms getLegendFish: undefined full: undefined
102 2023-04-12 18:24:43 fishing time: 13967 ms waiting time: 8856 ms getLegendFish: undefined full: undefined
103 2023-04-12 18:24:56 fishing time: 13080 ms waiting time: 7972 ms getLegendFish: undefined full: undefined
104 2023-04-12 18:25:08 fishing time: 12034 ms waiting time: 6923 ms getLegendFish: undefined full: undefined
105 2023-04-12 18:25:21 fishing time: 13366 ms waiting time: 8255 ms getLegendFish: undefined full: undefined
106 2023-04-12 18:25:32 fishing time: 10532 ms waiting time: 5422 ms getLegendFish: undefined full: undefined
107 2023-04-12 18:25:45 fishing time: 12898 ms waiting time: 7790 ms getLegendFish: undefined full: undefined
108 2023-04-12 18:26:00 fishing time: 15133 ms waiting time: 10025 ms getLegendFish: undefined full: undefined
109 2023-04-12 18:26:10 fishing time: 10317 ms waiting time: 5206 ms getLegendFish: undefined full: undefined
110 2023-04-12 18:26:21 fishing time: 11401 ms waiting time: 6291 ms getLegendFish: undefined full: undefined
111 2023-04-12 18:26:32 fishing time: 10180 ms waiting time: 5057 ms getLegendFish: undefined full: undefined
112 2023-04-12 18:26:45 fishing time: 13001 ms waiting time: 7893 ms getLegendFish: undefined full: undefined
113 2023-04-12 18:26:55 fishing time: 10560 ms waiting time: 5440 ms getLegendFish: undefined full: undefined
114 2023-04-12 18:27:04 fishing time: 8839 ms waiting time: 3730 ms getLegendFish: undefined full: undefined
115 2023-04-12 18:27:16 fishing time: 11466 ms waiting time: 6355 ms getLegendFish: undefined full: undefined
116 2023-04-12 18:27:28 fishing time: 12050 ms waiting time: 6940 ms getLegendFish: undefined full: undefined
117 2023-04-12 18:27:38 fishing time: 10799 ms waiting time: 5690 ms getLegendFish: undefined full: undefined
118 2023-04-12 18:27:51 fishing time: 12249 ms waiting time: 7140 ms getLegendFish: undefined full: undefined
119 2023-04-12 18:28:02 fishing time: 11709 ms waiting time: 6590 ms getLegendFish: undefined full: undefined
120 2023-04-12 18:28:15 fishing time: 12189 ms waiting time: 7078 ms getLegendFish: undefined full: undefined
121 2023-04-12 18:28:24 fishing time: 9398 ms waiting time: 4291 ms getLegendFish: undefined full: undefined
